,Importance
QQ_Mean,0.703653
QRS_Mean,0.09077389
TR_Mean,0.040297646
HRV_pNN50,0.033854753
PR_Mean,0.027285717
HRV_Prc80NN,0.026894476
HRV_MedianNN,0.014707443
HRV_pNN20,0.0074106636
HRV_MaxNN,0.0066143074
HRV_Prc20NN,0.004731465
PP_Mean,0.004271264
HR_Mean,0.0035042255
HRV_SDSD,0.0030320284
fft_total,0.0029602344
QR_Mean,0.002805516
HRV_CVSD,0.0027931703
HRV_HTI,0.0027179513
HRV_MadNN,0.0026134234
VLF_Rel,0.0025573839
HRV_MinNN,0.0024867137
TT_Mean,0.0022615157
HRV_CVNN,0.0022304999
HRV_MCVNN,0.0021668838
HRV_TINN,0.0021589466
HRV_IQRNN,0.0018444455
HRV_SDNN,0.0016609543
HRV_RMSSD,0.0016131654
SS_Mean,6.0642556e-05
HRV_MeanNN,2.1147029e-05
HF_Rel,1.6610678e-05
RS_Mean,0.0
VLF_Peak,0.0
LF_Peak,0.0
LF_Rel,0.0
HF_Peak,0.0
LF_Norm,0.0
HF_Norm,0.0
fft_ratio,0.0
