,Coefficient
distributionEnergy_1,-0.1885708790112531
HR_Mean,-0.0
medianMFCCS_9,-0.0
medianMFCCS_10,-0.0
medianMFCCS_11,-0.0
medianMFCCS_12,-0.0
medianMFCCS_13,-0.0
medianMFCCS_14,-0.0
medianMFCCS_15,-0.0
medianMFCCS_16,-0.0
medianMFCCS_17,-0.0
medianMFCCS_18,-0.0
medianMFCCS_19,-0.0
kurtMFCCS_0,0.0
kurtMFCCS_1,0.0
kurtMFCCS_2,0.0
kurtMFCCS_3,0.0
kurtMFCCS_4,-0.0
kurtMFCCS_5,-0.0
kurtMFCCS_6,-0.0
medianMFCCS_8,-0.0
kurtMFCCS_7,-0.0
medianMFCCS_7,-0.0
medianMFCCS_5,-0.0
stdMFCCS_6,-0.0
stdMFCCS_7,-0.0
stdMFCCS_8,-0.0
stdMFCCS_9,-0.0
stdMFCCS_10,-0.0
stdMFCCS_11,0.0
stdMFCCS_12,-0.0
stdMFCCS_13,-0.0
stdMFCCS_14,-0.0
stdMFCCS_15,-0.0
stdMFCCS_16,-0.0
stdMFCCS_17,-0.0
stdMFCCS_18,0.0
stdMFCCS_19,-0.0
medianMFCCS_0,-0.0
medianMFCCS_1,0.0
medianMFCCS_2,0.0
medianMFCCS_3,-0.0
medianMFCCS_4,-0.0
medianMFCCS_6,-0.0
stdMFCCS_5,-0.0
kurtMFCCS_8,-0.0
kurtMFCCS_10,0.0
skewMFCCS_14,-0.0
skewMFCCS_15,-0.0
skewMFCCS_16,-0.0
skewMFCCS_17,-0.0
skewMFCCS_18,-0.0
skewMFCCS_19,0.0
rmse,0.0
mav,0.0
var,0.0
mnf,0.0
mdf,-0.0
zc,0.0
fr,-0.0
mav_arr_0,0.0
mav_arr_1,-0.0
mav_arr_2,0.0
mav_arr_3,0.0
std_0,-0.0
std_1,-0.0
skewMFCCS_13,0.0
kurtMFCCS_9,-0.0
skewMFCCS_12,-0.0
skewMFCCS_10,0.0
kurtMFCCS_11,-0.0
kurtMFCCS_12,-0.0
kurtMFCCS_13,0.0
kurtMFCCS_14,0.0
kurtMFCCS_15,0.0
kurtMFCCS_16,0.0
kurtMFCCS_17,-0.0
kurtMFCCS_18,-0.0
kurtMFCCS_19,0.0
skewMFCCS_0,0.0
skewMFCCS_1,-0.0
skewMFCCS_2,-0.0
skewMFCCS_3,-0.0
skewMFCCS_4,0.0
skewMFCCS_5,0.0
skewMFCCS_6,0.0
skewMFCCS_7,-0.0
skewMFCCS_8,-0.0
skewMFCCS_9,-0.0
skewMFCCS_11,0.0
stdMFCCS_4,-0.0
stdMFCCS_3,-0.0
stdMFCCS_2,-0.0
HRV_MinNN,0.0
HRV_MaxNN,0.0
HRV_HTI,0.0
HRV_TINN,-0.0
VLF_Peak,0.0
LF_Peak,0.0
LF_Rel,0.0
HF_Peak,0.0
HRV_pNN20,0.0
HF_Rel,-0.0
HF_Norm,-0.0
fft_ratio,0.0
fft_total,0.0
meanEda,-0.0
stdEda,-0.0
kurtEda,0.0
skewEda,0.0
meanDerivative,0.0
LF_Norm,0.0
HRV_pNN50,0.0
HRV_Prc80NN,0.0
HRV_Prc20NN,0.0
QRS_Mean,0.0
QR_Mean,0.0
RS_Mean,0.0
PR_Mean,0.0
TR_Mean,0.0
PP_Mean,0.0
QQ_Mean,0.0
SS_Mean,0.0
TT_Mean,0.0
HRV_MeanNN,0.0
HRV_SDNN,0.0
HRV_RMSSD,0.0
HRV_SDSD,0.0
HRV_CVNN,0.0
HRV_CVSD,0.0
HRV_MedianNN,0.0
HRV_MadNN,0.0
HRV_MCVNN,0.0
HRV_IQRNN,0.0
meanNegativeDerivative,0.0
std_2,0.0
activity,-0.0
complexity,-0.0
meanMFCCS_3,-0.0
meanMFCCS_4,-0.0
meanMFCCS_5,-0.0
meanMFCCS_6,-0.0
meanMFCCS_7,-0.0
meanMFCCS_8,-0.0
meanMFCCS_9,-0.0
meanMFCCS_10,-0.0
meanMFCCS_11,-0.0
meanMFCCS_12,-0.0
meanMFCCS_13,0.0
meanMFCCS_14,-0.0
meanMFCCS_15,-0.0
meanMFCCS_16,-0.0
meanMFCCS_17,-0.0
meanMFCCS_18,-0.0
meanMFCCS_19,-0.0
stdMFCCS_0,-0.0
stdMFCCS_1,0.0
meanMFCCS_2,0.0
meanMFCCS_1,0.0
meanMFCCS_0,-0.0
entropyWavelet_3,-0.0
peaksCount,0.0
meanPeakAmplitude,-0.0
meanRiseTime,-0.0
sumPeakAmplitude,-0.0
sumRiseTime,-0.0
sma,-0.0
energy,-0.0
varSpectralPower,-0.0
totalEnergyWavelet,-0.0
mobility,-0.0
energyWavelet_0,0.0
energyWavelet_2,0.0
energyWavelet_3,0.0
distributionEnergy_0,0.0
distributionEnergy_2,0.0
distributionEnergy_3,0.0
entropyWavelet_0,-0.0
entropyWavelet_1,0.0
entropyWavelet_2,-0.0
energyWavelet_1,-0.0
std_3,0.0
VLF_Rel,0.32276976906436305
